ID,Start Date,End Date,Did the respondent agree to take the survey?,"Since finishing your training with Samaschool, have you completed any gig or contract-based work?Gig work means any work where the worker was doing a job that last for a limited time or to the end of a project, and the worker was paid for completing a particular task, gig, or project.",How many gigs or contracts have you completed?,That’s great! Can you let me know the number of gigs or contracts that you have completed?,How did you find your contract-based work?,,,,"Great - which online platforms did you use?If you completed multiple gigs or contracts on different platforms, you can select more than one option below.",,,,,,,,,,,,,How much money have you earned for completing this work?Enter a dollar amount. You do not need to use the $ sign.,How would you describe the amount of money you just mentioned? Is it:,Do you plan to continue doing gig or contract-based work?,Why do you think you won’t continue with gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.Choose all that apply to you.,,,,,,,,,,,Do you need any support to continue with your gig work? Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Do you plan on doing gig or contract-based work soon?,Great! What kind of support do you need to get started?Select their MOST needed option from the list below. One answer choice will be permitted.,,,,,,Why do you think you won’t start gig work? I’ll read out some options and you can let me know which of these apply to you. You can choose more than one option.,,,,,,,,,,,Are you currently doing any other work?,Which of the following best describes your other work?,Samaschool City:
100172,2019-02-19 13:58:22,2019-02-19 14:13:57,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,New York City
100364,2018-12-17 17:23:52,2018-12-17 17:53:50,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",San Francisco / Bay Area
100945,2018-09-06 15:15:52,2018-09-06 15:20:32,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100756,2018-12-08 11:56:52,2018-12-08 12:09:57,Yes,Yes,1,,,,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,150,The amount you have earned based on what you see on your profile(s),Yes,,,,,,,,,,,,Platform Support - Profile Completion,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100849,2018-08-01 14:05:39,2018-08-01 14:12:27,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,I don’t have time to complete gigs,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100572,2018-10-31 16:37:51,2018-10-31 16:43:42,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,No,,
100650,2018-09-18 14:40:49,2018-09-18 14:45:03,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100680,2018-09-21 16:38:45,2018-09-21 17:15:32,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,No,,
100059,2019-03-11 17:05:31,2019-03-11 17:27:08,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,one and one with job training worker to give advice after training,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",New York City
100947,2018-09-06 15:20:32,2018-09-06 15:34:43,Yes,Yes,More than 3,8,,Staffing or temporary placement (temp) agency,My personal networks or word-of-mouth referrals,,,,,,,,,,,,,,,360,A best guess of the amount you have earned,Yes,,,,,,,,,,,,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,No,,
100969,2018-09-07 12:02:22,2018-09-07 12:11:19,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Lack of Confidence,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
101249,2018-08-06 20:24:32,2018-08-06 20:46:46,Yes,Yes,More than 3,7,,,,Class referalls,,,,,,,,,,,,,,1200,A best guess of the amount you have earned,Yes,,,,,,,,,,,,,Platform Support - Job Search,,,,,,,,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100984,2018-09-06 16:33:22,2018-09-06 16:40:48,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Platform Support - Profile Completion,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100155,2019-02-19 9:38:15,2019-02-19 9:42:31,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,I am enrolled in school or training,,,No,,New York City
100028,2019-03-09 11:19:34,2019-03-09 12:35:12,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",San Francisco / Bay Area
100452,2018-11-04 19:35:56,2018-11-04 19:39:13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Learn more skills,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",
100752,2018-12-06 11:43:37,2018-12-06 11:49:25,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,I do not need support,,,,,,,,,,,,,Yes,"Employed, part-time (work less than 35 hours per week)",New York City
100054,2019-03-05 19:03:29,2019-03-05 19:13:22,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,marketing / promoting self,,,,,,,,,,,,No,,San Francisco / Bay Area
100694,2018-09-24 16:26:16,2018-09-24 16:42:50,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Platform Support - Job Search,,,,,,,,,,,,,,,,Yes,"Employed, full-time (work 35 hours or more per week)",
